Category,Published Date,News Headline,News Content / Summary,News Website Link (URL)
🖥️ Technology,2025-11-17 14:31:06,Methane pyrolysis technology - Exxon Mobil Corporation,Methane pyrolysis technology  Exxon Mobil Corporation,https://news.google.com/rss/articles/CBMitwFBVV95cUxNLTVzSFJsU3pwekVxRi0tWG12Nk4tWlh5OGNCeHI1NHJvMHhBc1J1cld1djU4aWtKbFkwZm9saVpHbDV4aEFIVE9GVzRNbmkwUW1zTzU0anp4TTI0NUJCTDFvaE50U3hqRHcxWERkSFB1Zjc2OThSZjk4eVVTN190V1YtN0gwR2dvanRldklpdHY0SXNqRWNqbFplWktERFJXYmQyeUV5LUREdFprLThBdERzdzNiNms?oc=5
🎬 Entertainment,2025-11-17 14:23:13,Starz Entertainment renews CEO Jeffrey Hirsch’s contract with updated compensation - Investing.com India,Starz Entertainment renews CEO Jeffrey Hirsch’s contract with updated compensation  Investing.com India,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNN1pmTVhIX0NNY3Z0enBZVW5PRHpMUG9KZ25sOUpNVFlWY21PMkI3TWdyeU11cHIyc3NtLTQ1M0lWQjIzUFNsaUljQ1N4SmVJaGMtb0pScThZQTl4Z3EtMm9VYmlhM0J2MFJISjJrVlp0MDVLOUhjcE9zdnJuR0VFQmhORWduWEpTb2F5WjRzRjA4UUF6ZVlrN2FNVFlzd3dkWVBacjJkRTRUakxaZnhZOER2N3FIeHhNTE9zWVBnVzA2VklTbnV4SHFkWUZPMGR2Z1E?oc=5
🖥️ Technology,2025-11-17 14:15:52,Yudhvir Mor joins The Times of India as Chief Product & Technology Officer - afaqs!,Yudhvir Mor joins The Times of India as Chief Product & Technology Officer  afaqs!,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNQWc0bFd3OG9nbmhJRG5XdEZFQTdhVW5xRmdmZk12a2k4X2hYYk1hUGdsTHRIUjVHdFpidmlOT29XTDZUa0VZb2RLeXNnaG5Ec2l2UUU2NUxQSkhDUlgxZXlsNVgwV3NMbF9Neno5TWEyTGdwQnQ1Q3Ffa2toeW56eFJXVUpMVHdhclgzV1ppa003M25SRnFjZGNGNUlzYjJhajJLMFFqelJGQ1JCYUdJOFoyODlfT1dVQUU0?oc=5
💊 Health,2025-11-17 14:14:00,Mysuru hosts global conference on sustainable brain health - The Hindu,Mysuru hosts global conference on sustainable brain health  The Hindu,https://news.google.com/rss/articles/CBMixgFBVV95cUxNNXJPYnlrMUZ2WHpHT1Ywcl84bGtmbW9lTEt3Q3ZaOVk2NFRaaVJ2WmJ2eFdDREgyZmFSaVlqak9SV1RfZ3JZSDlwVU1BYTExd0Y5MEN4ckZRMmxoUWViclI1cWhBRHZHM3Y2THhyNjhFSk5IS2M4Y3lBaFNsZjJQc1FpZHVYaUszY3FRV3diQVI3Mkx3MXdKN1hMYzVTSDhRaXoxc3ZseF9lOF9kclZ0TG5mYVZvUFVWbDBSRGF4TUphUmRhVnfSAcwBQVVfeXFMTmJibWJ2SUN4aVRFVzlKX1drczhJWXlFRVdjWjVBTDY5eEJLaTJiRElIVzAyYTNaNXpIX0t6WXhIT19mTl8tLTY4OXFtUHZrSzZFY3dQTE9PazZvS09mc1ZoanU5NUZlZ3M3am4zQlZHZURlRGtJOXZIVF9ySHdmUUc4eDc3ejlpakVnX1VkT0ZySEFNVDVCNDY0Y0lUMk02eGpPemRYb2RGbUFsUHBOTkRtR0R5SENoLWpxSkJJdDJTMGdKRHA4QV82R1Ix?oc=5
🎬 Entertainment,2025-11-17 14:02:00,Tiger Shroff to lead Ram Madhvani’s spiritual action thriller; Shoot to commence in 2026 - The Times of India,Tiger Shroff to lead Ram Madhvani’s spiritual action thriller; Shoot to commence in 2026  The Times of India,https://news.google.com/rss/articles/CBMikAJBVV95cUxOcHJuYkJzN19kLXF6dVRaU19WQVo5QkdaaVhFYkliVXlFOUNCQ3FKY2hNb2t3d18zZXh0UXp0ZXQ0c1lVcHFTSm5NeDMzWnNBdDFBTUliempzazdFRWM2RlRDVkh2aHBXRFZTNklPcDhDajV0dzVhVFhXcm45aEh6WUlWcVdlSXJyUTllbGRvWGNqVmtYMmJHVUFQQzhIUGphVjlYOGNhRS1EYzVGZXRIcW0yYTBROG1oVFBnenFwRjhrQUVBazV4cnNzMlZRM1RYU0VyS1QwSHpKcU04NERON19LM2MyQ0NwNXFwajEtVV81RDR0M3lYU2ZiMnV5eWV5cHRrQzZRZEtSQ2tqRmt2edIBlgJBVV95cUxOZFgzZFR3akRCR2Jpdk1aSm1xbmpaOWg3V2paRDlPUU03TFJsMGNhUjRTWnQ1RjNSYXp3dG5FeVZQUE04UTA0d0swYl85b21JNUFOaDNrWmlxQkFlNnVFSmx1WnJvMWVCMkp5dXRjck5oVk5memR1dnh2M0t4Zm85R1RwRzlSTlBLRWV6UUJ0d05DaXdmTld5QU9LX25ZZ3NWMkJGVkMwUUxvUXRTSnRzR3BReHJwUFRYN2dva0hmczdLUUFwQV9oVkNrX0QyTGNXdl9UNVRCLVBJZ2xYSG91bmlUbVRJY0ZTOUY5c19UTXAtbld3TjU4alkxQzJsdEt1QzZwT3ZRSEJucDY4Z29Sb3htRmh4Zw?oc=5
🏅 Sports,2025-11-17 13:09:00,Nagpur-Chandrapur-Gondia Circle Finishes Runner-Up At MSEDCL State-Level Sports Meet - The Times of India,Nagpur-Chandrapur-Gondia Circle Finishes Runner-Up At MSEDCL State-Level Sports Meet  The Times of India,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQSDdDX0k1VDAwZ3dsTDd2Vk9CVWhaeG9Gem9wZ0ZEajBFSHVwd3BYcGpLT3hrVFRwZGVnSmR1Y0pjU2RlOXpqSnJvWTZ5RGt0aWRJX0xOTkhwdWZTNkFkdVU2SkVydndqQmRxaVJLdlVSLU9OdTJuOWNOV01DQVBLZERTUXZTSWlMOWdfbjVWNzRWX0FTSWw0cUxDaUJvZWJtQU90M0M1VlNtRFNhQkxLdk5LZWFRbDRZWGlfemhwemM1N1BHaVlBLVZHaXRxREplNXhuX3FXVjJwU1RaMVFId293aW5qWE4zZkc3d1Foc9IB9AFBVV95cUxOZG1RNWh3cE5NQkJzSURJVzVrbjB2MGpEazBZZ01VbjJ4Y2ZKNnFRYmZUWTRSRkkxRWFqelRJYlB3M0s5SllKRmhYVEQ1Ym1EN0U4b3hUZGRjMHNGRHJuUDdHTUxSX0dnUjMyRTZ4VS10SHczTkNZekNKWS1GVXVzRExneDg1WUNxbHFsNFE1RnFjN1pMVXBmMVFUV3VJbVNsVnVTVWM0aWlCMGgxUWF1QXpKODlRdk5sMHdhdnROcS03UVI4RnV2UU1IcTMtYjQzNkppVWx3UEcyeUVBUDRlMlEybE1Vc3BDcTBtVUlCekpGeTJX?oc=5
💊 Health,2025-11-17 13:00:00,Improved scientific advice for medicines for public health threats including antimicrobial resistance - European Medicines Agency,Improved scientific advice for medicines for public health threats including antimicrobial resistance  European Medicines Agency,https://news.google.com/rss/articles/CBMixgFBVV95cUxPak5QUzd4bXp6UVVJRFo5X2h6MWhBcjFKazFDX0JaV3lKTDFHYXlzWUtlZ01NZ0pwVnJzbktiSlV6QVhDWjQ2OHJRLTFfWEhKSm5RanBrQ0UtT3hzUl84Zm1GS1ltMTF2UUhJMEplV3FWRUtIV3RyN2N2ajNzLVJuLXZsZ2ZMR1VtRi1EbXRobTFPQVE0NEwzUDkxb3ZWU2QzdVQyeXkwcG13a3FuakY1eEdaZlh2TTE4N2NPS2FhRXdnNldQbkE?oc=5
🔬 Science,2025-11-17 12:57:37,AI for new science discovery: Researchers create first Milky Way simulation to track more than 100 billion stars - livemint.com,AI for new science discovery: Researchers create first Milky Way simulation to track more than 100 billion stars  livemint.com,https://news.google.com/rss/articles/CBMi_gFBVV95cUxOM1dqWVNjcHNTSWZUZWlxTzljbGtqckF2OE45bzZmQmpmMndjdWh6TXFlS3N0QUhqWVJPUGJEQWdNNDN5UTdEc0UzdUJicnRkeVp0elFZMEt2bUNaMkJvUG9ULTFQbnBFZ29RSVNjby1tcjBOckJSOG1fQWZ5T2hTeGRUcll5eHRUSzAzVkJJMDBWRWZPb0p3YzQ3QVVpZlZGZWtsb0h5ZzlvRzMtZXNhSG9ocjhQRUYtY3BObXJoaUkwOU42OHhhbWx4QUpnVzlEbzBzNjR6ZV90N2FuM2JxV0hEakZBREQyZjRQa2RNU25XYkpReXM4WGFURmFQUQ?oc=5
🏅 Sports,2025-11-17 12:50:27,"School assembly news headlines today- November 18: Top national, sports and world news curated for you - India Today","School assembly news headlines today- November 18: Top national, sports and world news curated for you  India Today",https://news.google.com/rss/articles/CBMi5gFBVV95cUxQYk01b0dER2R1T1dGTDBrdkI2ZlhxenJ4b2VZaW4yUTdQMDVEOW93alMzT25ZdVhaR29hdmdNbDQzaDUza1ZlbElYNzM5SndodDhidkJwZ1dvT3AwcUZxX3BFUjY0dTY0bjNaaDRpVHNwZzhQWmFKcFdJc1NKcXB0X1A5ZDQxREJQekx0SS03S3pQSGJqRExsbzJQY0paNklfbWs4REtpbGd0M3VPNlFXNjRfU25EVVcxZlZqUURwZ1FMSUFjX254UmZ4QnNVd09RSG9JQ2dkOUd6WlB0cTM5dmpSVGNXUQ?oc=5
🔬 Science,2025-11-17 12:50:19,Science Task Force Paper Spotlight: Why movement and connectivity matter in conservation - IUCN,Science Task Force Paper Spotlight: Why movement and connectivity matter in conservation  IUCN,https://news.google.com/rss/articles/CBMiswFBVV95cUxPZTVnQ2NjWkF5TUdSNkhTaDRVWExqUTduTWhMQTg5OWxFaUZtR3RvMXBnQ0N4TG9aRTNZVWxqampHSDFycHJyTGZyYWltb256aWlyaWZIbG9HRnpFdnBuTHBYdTBZVUFJR2E2blZYQjlWNjB0MEVnNEVpLTlENUJFMDlWaEhKSkl2VVJ0NEYway11aTlOdXBDX2lKaWo0ZFhiSWtsbzZSZGdmNzNGY2pBLVZvZw?oc=5
🔬 Science,2025-11-17 12:48:00,The Rearview Podcast | Death of the Indian Science Congress - The Hindu,The Rearview Podcast | Death of the Indian Science Congress  The Hindu,https://news.google.com/rss/articles/CBMirwFBVV95cUxPVFAtMGZtLXoyakc3ODRnNEI5MWVxcHd6VFVsLWR4eF85dXE0d3BZY0I5TUNhRXpqVXp1WXdVeU9fTzY2aEJTc3UtTmVzVXc1SzUwOG84UDdBUzdyYURITzlpY1ZqR01acWdLZWVlc3JUdGJLVjQ4TDEtYUdzLXBFaFpPZzdGc0JaM3dGcGpVQ0M2WFJxN3FjWlkxZURvd3RqNUt6aGcxUXFqbWx5V2RN?oc=5
🏅 Sports,2025-11-17 12:47:25,"AdiGroupè and AEx Sport to Ignite Indias Sports Entertainment Revolution with a Power-Packed, Bharat-First Approach in partnership with Prasar Bharati - The Wire India","AdiGroupè and AEx Sport to Ignite Indias Sports Entertainment Revolution with a Power-Packed, Bharat-First Approach in partnership with Prasar Bharati  The Wire India",https://news.google.com/rss/articles/CBMilwJBVV95cUxQTUxDckhmZjg2UC1DNDhINmp6THc2cmZQRGFRMGlWV0tfQ2FCaHZWMmlRU05DRGpmbXpMMXFkMG5zYXNycjd6NGRHMTBvSHp5eW9yX2RlRnBkcUdLeUNqNW5Jek9Yb2xWVENGOG9pUE9taEZ3YVhib2ozeVNGM25XaXRhSWdUOHBoenN2QkdKTkRYMlRfbm13aHhIakw1Qld2VVQwcFBUa0IxcHRZaS1lQ3NHNDA0ZFAwYk9SUUgxQUNFcjJ1cTB3VzBONmtiYjlmMkE1T1RHS2ZET3ZWWnFVR1Jsd2RhNVdYQ2I3VWQ4dHB4R2tKTGVBU1Btb1FyX2NmWkwtclFBa1lNY0JNbmJGMWpISHdWLTjSAZwCQVVfeXFMTVh6cUlNTG1UYjBPcF9wWDZvWHpmQnl0Z1RSWHBZNXBBZ19mUTZDMDVYNUx5MEd6NFVSbkg2U3hGeVJLY3RRYkJXbFlhSEVHRjlJcG4xN2hhMzRhaHk4SE94Z0d5VTdmSEp3amNySjV2dmQ3TlJGTmVUdl9oaENEa0ZHVURaeUt0UnhERkN3eWYxMU9TYmlRQXZrTmhQS1B6WWFyTVd3ZjBEbDhIczlQeHlOa08xSmlLcmx1bi1zeWMweE5nUm5IcS03TF9PLTBtdHVEWWRJNDJwTldXMTJ6QUFrY3gzRVBnZFo3WWlfdVMxMG8xQXVtRmRpZUE1SUdWT0UzV192S0lmLThKTEIwTnRUdm1rcEc0ZUJIek0?oc=5
🏅 Sports,2025-11-17 12:37:34,"Toyam Sports Ltd Forms Golden Cross, Signaling Potential Bullish Breakout - Markets Mojo","Toyam Sports Ltd Forms Golden Cross, Signaling Potential Bullish Breakout  Markets Mojo",https://news.google.com/rss/articles/CBMiygFBVV95cUxNYlRRM1hHLWQ4bVI5OGt4MmdpQlNWVDdrYmRtMnBxYmhRdHkxWS1sSVJ5QTdCZHVXcERUZzJjYXkxRTJmMEt4QU1aVmhJRXYyQlFLZ1pCUUplNk1MTHdma2dCMzdhbkxuUTVDd1hTTkVkV3R1enc2Z3l4Ymdld210bndJck1UQUlwejhFbzdDb1IwemxxU0tyUTNJTzRILUs5bUtZSFNTdU9wb1I1c0UwU1NfQldxNWJlSkUzWmxUOW1KcXlLZXpqd01R?oc=5
💊 Health,2025-11-17 12:25:00,Health Minister JP Nadda Proposes MoUs with Norway to Boost Health and Drug Regulation Cooperation - Newsonair,Health Minister JP Nadda Proposes MoUs with Norway to Boost Health and Drug Regulation Cooperation  Newsonair,https://news.google.com/rss/articles/CBMixwFBVV95cUxOX3hXV052M1plSWZEV3hDQVI1TXk4RlAyMC1STFEwU3pZNzRYN1pfY0Y3OEFiSnpkZGxOaXBLUjhQVFFpSi1KTUtfVHZIMWpXWl9aVVpmWkk5YnJtY0tWQ1NhckRZZWJtM2tSdHVoMHJyRGE3UmVVVE45d1lXRXVEQkQwMG9pcVg0NV9xMDAxaDQyalNsc3hxZG1sOW1xNVltd2R6djVSeHdwSkpscWJxWEpVXzhLN2pudjd3elA3VXhkclljdmRj?oc=5
🏅 Sports,2025-11-17 12:12:24,"School Assembly News Headlines, 18 November 2025: National, International, Business and Sports Updates - Moneycontrol","School Assembly News Headlines, 18 November 2025: National, International, Business and Sports Updates  Moneycontrol",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQQ0RuM0xtTlFuZkhhalZXMEd0Mzg2TkUwSFFIV0NLcnk1LUhrN3QtaWhFMU10ZVREWHRScldOeHRPbGMyQ2g4enNXRlo3bW80bzVybnpXZGY3OW5Xc0t6T3MzU2c0TFVZZkRmeXFHb0RaekNVbEs4X1VEdDU0MVdSNDhfbEFUNVVzZEtoYWh1RTZsVHpNazlFT1hpMnJiZ0NXY3VtQ3JDNUVWdUtQd3RYalZTYmJfSjE3YUdGTlowWHpDN0lsS2RBLTBJRXZmMS0tNEpHRzlIeFJtUWM5V25iTGhma0pnb3NuTEpMd0F6VTHSAfYBQVVfeXFMTlk0UGlHZEU3S1RES3pONDNITXJjb2lBRFlaRzN6MnFoaElsdzQ4a1RCaHJmWk5jODY4OWlKejdZOXFTWjhER1gzUDJGZll5ZDJ6bVdEVWE4Rng5VnJLQ0RzWUtLa2o4dXFkemVFaXJKbUY2YVR2cTRZOUhES1BuZVpyTHE4SjhCSVBqMDVBMEtycEtpMi15SnFfUGd6TmE0TndOYTBkZWd2MzNDOW1YTkM5eHVwY3p4dnBDalFSenZqWjQtVjQwQ0lJMVR1ZV9YRkp2SnRKaThOTzVUZXNBVlpHT1ItU3RWUkU2b3NDRkZvc0R3MVdR?oc=5
